Country,YearsCode,EdLevel,Employment,DevType,OrgSize,RemoteWork,WorkExp,Industry,Age,ICorPM,ToolCountWork,log_salary,has_high_pay_lang,LanguageCount,DatabaseCount,PlatformCount,yearsCode_sq,WorkExp_sq,Exp_ratio,Tech_breadth
Austria,35.0,,1,Other,1.0,1,30.0,Healthcare,2.0,0.0,2.0,11.498958377741612,0,11.0,2.0,,1225.0,900.0,0.8333333333333334,0.0
India,10.0,5.0,1,Full-stack,6.0,0,8.0,Software Development,1.0,1.0,,9.69738546707677,0,1.0,4.0,,100.0,64.0,0.7272727272727273,0.0
Netherlands,27.0,5.0,1,Full-stack,,1,20.0,Software Development,2.0,,2.0,11.556119045056985,1,8.0,2.0,5.0,729.0,400.0,0.7142857142857143,15.0
Australia,40.0,5.0,1,Other,2.0,2,30.0,Software Development,3.0,0.0,,11.670083048100633,1,10.0,3.0,8.0,1600.0,900.0,0.7317073170731707,21.0
Other,24.0,5.0,1,Devops/Cloud,2.0,1,20.0,Banking/Financial Services,2.0,0.0,,10.414903002320548,0,2.0,1.0,1.0,576.0,400.0,0.8,4.0
Australia,17.0,,1,Data/ML,,1,15.0,Other:,2.0,0.0,,11.48776149130668,0,4.0,2.0,4.0,289.0,225.0,0.8333333333333334,10.0
Other,4.0,,1,Other,4.0,1,5.0,Higher Education,2.0,0.0,6.0,10.105448324582431,0,,4.0,12.0,16.0,25.0,1.0,0.0
Switzerland,28.0,,1,Full-stack,3.0,1,26.0,Software Development,2.0,0.0,10.0,11.727988456319707,1,12.0,5.0,10.0,784.0,676.0,0.896551724137931,27.0
Germany,40.0,,1,Back-end,5.0,2,21.0,"Internet, Telecomm or Information Services",3.0,0.0,1.0,11.556119045056985,1,3.0,4.0,4.0,1600.0,441.0,0.5121951219512195,11.0
Spain,38.0,,1,Full-stack,,1,25.0,Healthcare,3.0,,10.0,11.150663514162712,1,9.0,4.0,15.0,1444.0,625.0,0.6410256410256411,28.0
France,22.0,,1,Devops/Cloud,2.0,2,10.0,Other,1.0,0.0,,11.191479762365638,0,7.0,2.0,6.0,484.0,100.0,0.43478260869565216,15.0
Ukraine,3.0,,1,Other,2.0,1,15.0,Other:,2.0,0.0,11.0,10.469681655831673,0,1.0,,,9.0,225.0,3.75,0.0
Sweden,12.0,5.0,1,Full-stack,3.0,1,9.0,Software Development,2.0,0.0,2.0,11.180232079489057,0,10.0,4.0,10.0,144.0,81.0,0.6923076923076923,24.0
Other,9.0,5.0,1,Embedded/Hardware,3.0,1,,Software Development,0.0,0.0,5.0,10.819798284210286,0,4.0,,,81.0,,,0.0
Israel,8.0,,1,Devops/Cloud,2.0,1,7.0,Other,2.0,0.0,10.0,12.129790773706345,0,6.0,5.0,14.0,64.0,49.0,0.7777777777777778,25.0
Germany,15.0,,1,Data/ML,,1,12.0,"Internet, Telecomm or Information Services",3.0,0.0,10.0,11.801242335894818,0,3.0,2.0,4.0,225.0,144.0,0.75,9.0
Germany,7.0,5.0,1,Full-stack,4.0,1,5.0,Software Development,0.0,0.0,10.0,10.927519962848502,1,2.0,6.0,8.0,49.0,25.0,0.625,16.0
France,18.0,,1, Data/ML,6.0,1,10.0,Software Development,2.0,0.0,3.0,11.997953165515051,0,5.0,6.0,8.0,324.0,100.0,0.5263157894736842,19.0
Denmark,40.0,,1,Embedded/Hardware,5.0,0,33.0,"Internet, Telecomm or Information Services",3.0,0.0,8.0,12.049851490414165,0,4.0,,1.0,1600.0,1089.0,0.8048780487804879,0.0
United Kingdom of Great Britain and Northern Ireland,18.0,5.0,1,Back-end,3.0,2,13.0,Banking/Financial Services,1.0,0.0,30.0,11.579387135669649,1,3.0,1.0,6.0,324.0,169.0,0.6842105263157895,10.0
Other,9.0,,1,Back-end,5.0,1,6.0,Software Development,1.0,0.0,5.0,11.150663514162712,1,6.0,3.0,7.0,81.0,36.0,0.6,16.0
Netherlands,20.0,5.0,1,Other,3.0,0,3.0,Government,1.0,0.0,10.0,11.121925234272586,1,9.0,6.0,9.0,400.0,9.0,0.14285714285714285,24.0
India,6.0,5.0,1, Data/ML,3.0,2,15.0,Fintech,2.0,0.0,5.0,10.054017399337825,0,,1.0,5.0,36.0,225.0,2.142857142857143,0.0
Other,27.0,5.0,1,Full-stack,2.0,1,24.0,Software Development,3.0,0.0,4.0,9.403849118160702,1,9.0,2.0,7.0,729.0,576.0,0.8571428571428571,18.0
France,24.0,,1,Other,4.0,0,16.0,Higher Education,2.0,0.0,5.0,10.76009197224363,1,5.0,,2.0,576.0,256.0,0.64,0.0
Ukraine,17.0,,1,Other,5.0,2,13.0,"Internet, Telecomm or Information Services",1.0,1.0,5.0,10.849356503939038,0,7.0,3.0,6.0,289.0,169.0,0.7222222222222222,16.0
Poland,5.0,,1,Back-end,,1,3.0,Software Development,1.0,,7.0,11.371166028932267,1,2.0,3.0,5.0,25.0,9.0,0.5,10.0
Other,18.0,,1,Other,3.0,1,12.0,Software Development,2.0,0.0,6.0,10.961416725928702,0,6.0,,5.0,324.0,144.0,0.631578947368421,0.0
United Kingdom of Great Britain and Northern Ireland,42.0,5.0,1,Other,3.0,2,30.0,Government,3.0,0.0,,11.62300781520034,0,4.0,2.0,4.0,1764.0,900.0,0.6976744186046512,10.0
France,20.0,,1,Management,1.0,2,17.0,Healthcare,2.0,0.0,,12.403414169080513,1,5.0,2.0,3.0,400.0,289.0,0.8095238095238095,10.0
Poland,20.0,,1,Embedded/Hardware,3.0,1,13.0,Software Development,2.0,0.0,16.0,11.272076086537087,0,3.0,,,400.0,169.0,0.6190476190476191,0.0
Other,4.0,,1,Data/ML,6.0,0,3.0,Other:,1.0,0.0,20.0,12.377459637271349,0,3.0,2.0,3.0,16.0,9.0,0.6,8.0
Other,22.0,5.0,1,Front-end,3.0,2,22.0,Other:,2.0,0.0,6.0,11.32547477664184,0,2.0,,,484.0,484.0,0.9565217391304348,0.0
Germany,10.0,,1,Embedded/Hardware,2.0,0,1.0,Other,1.0,0.0,3.0,9.803611967108871,1,9.0,1.0,,100.0,1.0,0.09090909090909091,0.0
Switzerland,12.0,,1,Full-stack,2.0,0,10.0,Retail and Consumer Services,1.0,0.0,6.0,11.390701332224854,1,9.0,5.0,12.0,144.0,100.0,0.7692307692307693,26.0
France,15.0,,1,Back-end,,1,7.0,Healthcare,2.0,,6.0,11.310503236469271,0,6.0,3.0,6.0,225.0,49.0,0.4375,15.0
Canada,17.0,,1,Back-end,2.0,2,8.0,Software Development,1.0,0.0,10.0,11.197652918513931,1,3.0,3.0,6.0,289.0,64.0,0.4444444444444444,12.0
France,38.0,,1,Devops/Cloud,5.0,1,30.0,Other:,3.0,0.0,8.0,10.769894522480744,0,8.0,4.0,9.0,1444.0,900.0,0.7692307692307693,21.0
Other,39.0,5.0,1,Other,,1,26.0,Software Development,3.0,,,11.350418300109132,1,4.0,,,1521.0,676.0,0.65,0.0
France,2.0,,1,Full-stack,5.0,0,7.0,Retail and Consumer Services,1.0,0.0,8.0,10.100861911956375,1,9.0,5.0,9.0,4.0,49.0,2.3333333333333335,23.0
United Kingdom of Great Britain and Northern Ireland,55.0,,1,Other,5.0,1,42.0,Higher Education,5.0,0.0,2.0,11.128321247529394,0,11.0,1.0,,3025.0,1764.0,0.75,0.0
Germany,30.0,5.0,1,Other,2.0,1,12.0,Software Development,2.0,1.0,3.0,11.230708431949505,0,7.0,,6.0,900.0,144.0,0.3870967741935484,0.0
Spain,30.0,,1,Management,,1,20.0,Other,2.0,,,11.923842351756639,1,5.0,5.0,10.0,900.0,400.0,0.6451612903225806,20.0
Germany,7.0,,1,Front-end,2.0,1,1.0,Software Development,0.0,0.0,6.0,10.902205838383594,1,8.0,2.0,5.0,49.0,1.0,0.125,15.0
Other,30.0,5.0,1,Full-stack,1.0,0,25.0,Software Development,3.0,0.0,10.0,10.702817410686135,0,3.0,4.0,5.0,900.0,625.0,0.8064516129032258,12.0
Other,21.0,,1,Full-stack,1.0,0,15.0,Software Development,2.0,0.0,2.0,10.258080330270536,0,6.0,5.0,7.0,441.0,225.0,0.6818181818181818,18.0
Other,20.0,,1,Front-end,3.0,2,10.0,Software Development,1.0,0.0,,10.745205588904774,0,5.0,8.0,12.0,400.0,100.0,0.47619047619047616,25.0
Australia,42.0,,1,Management,6.0,1,37.0,Other,4.0,1.0,3.0,12.468583053164386,1,3.0,1.0,,1764.0,1369.0,0.8604651162790697,0.0
Sweden,18.0,,1,Other,5.0,1,10.0,Banking/Financial Services,1.0,0.0,,11.560028492438871,1,4.0,3.0,7.0,324.0,100.0,0.5263157894736842,14.0
Canada,22.0,,1,Full-stack,1.0,2,13.0,Fintech,2.0,0.0,10.0,11.890800099073877,1,8.0,4.0,12.0,484.0,169.0,0.5652173913043478,24.0
India,7.0,5.0,1,Other,,1,1.0,Other:,0.0,0.0,,10.149331489371114,1,4.0,,,49.0,1.0,0.125,0.0
United Kingdom of Great Britain and Northern Ireland,35.0,,1,Embedded/Hardware,2.0,0,27.0,"Internet, Telecomm or Information Services",3.0,0.0,5.0,11.821453737653547,1,12.0,,,1225.0,729.0,0.75,0.0
Ukraine,37.0,,1,Embedded/Hardware,3.0,2,30.0,"Internet, Telecomm or Information Services",3.0,0.0,5.0,11.365341510264392,1,7.0,3.0,5.0,1369.0,900.0,0.7894736842105263,15.0
Other,5.0,,1,Other,3.0,1,1.0,Software Development,0.0,0.0,8.0,10.511839081391358,0,5.0,,8.0,25.0,1.0,0.16666666666666666,0.0
Germany,17.0,,1,Full-stack,3.0,1,14.0,Government,2.0,1.0,12.0,11.438341995170033,1,7.0,,4.0,289.0,196.0,0.7777777777777778,0.0
Germany,16.0,,1,Back-end,1.0,2,9.0,Other,1.0,0.0,7.0,11.330479900487639,1,6.0,3.0,10.0,256.0,81.0,0.5294117647058824,19.0
Other,34.0,5.0,1,Full-stack,2.0,1,23.0,Software Development,3.0,0.0,5.0,11.063649525214753,0,4.0,1.0,,1156.0,529.0,0.6571428571428571,0.0
France,9.0,,1,Data/ML,1.0,1,4.0,Healthcare,1.0,0.0,5.0,11.556119045056985,0,1.0,,,81.0,16.0,0.4,0.0
Other,9.0,5.0,1,Other,5.0,1,7.0,Other:,1.0,0.0,6.0,11.063649525214753,0,6.0,3.0,10.0,81.0,49.0,0.7,19.0
Netherlands,35.0,5.0,1,Other,6.0,1,20.0,Government,3.0,1.0,20.0,11.923842351756639,0,4.0,1.0,7.0,1225.0,400.0,0.5555555555555556,12.0
Other,9.0,,1,Other,2.0,1,5.0,Fintech,1.0,0.0,15.0,9.816348894719365,0,1.0,10.0,10.0,81.0,25.0,0.5,21.0
Netherlands,10.0,5.0,1,Full-stack,2.0,0,7.0,Software Development,1.0,0.0,12.0,11.150663514162712,1,6.0,,3.0,100.0,49.0,0.6363636363636364,0.0
Other,14.0,5.0,1,Back-end,6.0,1,14.0,Banking/Financial Services,2.0,0.0,6.0,11.122885771064801,1,5.0,3.0,5.0,196.0,196.0,0.9333333333333333,13.0
Other,10.0,,1,Front-end,1.0,0,4.0,"Internet, Telecomm or Information Services",1.0,0.0,10.0,11.866634013505358,0,3.0,,,100.0,16.0,0.36363636363636365,0.0
Sweden,16.0,,1,Back-end,4.0,1,11.0,"Internet, Telecomm or Information Services",2.0,0.0,10.0,11.144510446685352,0,9.0,1.0,8.0,256.0,121.0,0.6470588235294118,18.0
Other,35.0,,1,Other,2.0,1,25.0,Software Development,3.0,1.0,5.0,11.304805984955106,0,6.0,4.0,4.0,1225.0,625.0,0.6944444444444444,14.0
Other,26.0,,1,Other,,1,25.0,Banking/Financial Services,2.0,0.0,,11.65126030255907,0,3.0,4.0,4.0,676.0,625.0,0.9259259259259259,11.0
Other,10.0,5.0,1,Back-end,2.0,1,7.0,Software Development,1.0,0.0,5.0,12.214938229842646,1,6.0,4.0,5.0,100.0,49.0,0.6363636363636364,15.0
Germany,15.0,,1,Full-stack,,1,11.0,Healthcare,2.0,0.0,15.0,11.463031191496386,0,7.0,2.0,,225.0,121.0,0.6875,0.0
Canada,6.0,5.0,1,Front-end,2.0,2,5.0,Software Development,1.0,,3.0,9.993739506513155,0,4.0,4.0,4.0,36.0,25.0,0.7142857142857143,12.0
United States of America,44.0,,1,Other,2.0,2,34.0,Other,4.0,1.0,12.0,12.206077645517674,1,6.0,1.0,,1936.0,1156.0,0.7555555555555555,0.0
Spain,30.0,,1,Devops/Cloud,5.0,1,30.0,"Internet, Telecomm or Information Services",4.0,0.0,4.0,11.099362658824449,0,3.0,3.0,7.0,900.0,900.0,0.967741935483871,13.0
Australia,26.0,5.0,1,Other,3.0,1,22.0,Software Development,2.0,0.0,,11.77544356375846,0,5.0,2.0,5.0,676.0,484.0,0.8148148148148148,12.0
Other,6.0,5.0,1,Full-stack,1.0,0,4.0,Manufacturing,1.0,0.0,10.0,11.355815410510319,1,5.0,3.0,8.0,36.0,16.0,0.5714285714285714,16.0
Germany,25.0,5.0,1,Full-stack,2.0,1,15.0,Other,2.0,0.0,,11.631019563352696,1,6.0,2.0,14.0,625.0,225.0,0.5769230769230769,22.0
France,23.0,,1,Other,,1,18.0,"Internet, Telecomm or Information Services",2.0,,15.0,11.756788869858779,1,8.0,1.0,15.0,529.0,324.0,0.75,24.0
Other,16.0,,1,Full-stack,,1,14.0,Other:,2.0,,,11.238462303132728,1,3.0,2.0,4.0,256.0,196.0,0.8235294117647058,9.0
Germany,18.0,,1,Full-stack,3.0,1,13.0,Banking/Financial Services,2.0,0.0,7.0,11.275822431886601,0,6.0,3.0,7.0,324.0,169.0,0.6842105263157895,16.0
United States of America,19.0,5.0,1,Full-stack,3.0,2,17.0,Healthcare,2.0,0.0,15.0,12.487488878546145,1,12.0,5.0,9.0,361.0,289.0,0.85,26.0
Germany,15.0,,1,Full-stack,3.0,2,11.0,Other:,2.0,0.0,3.0,11.150663514162712,0,7.0,2.0,,225.0,121.0,0.6875,0.0
United Kingdom of Great Britain and Northern Ireland,5.0,,1,Full-stack,2.0,1,5.0,Other,1.0,0.0,,10.905185041352151,0,4.0,2.0,5.0,25.0,25.0,0.8333333333333334,11.0
Netherlands,7.0,,1,Back-end,1.0,1,4.0,Software Development,1.0,0.0,4.0,11.150663514162712,1,5.0,1.0,5.0,49.0,16.0,0.5,11.0
Other,17.0,,1,Mobile,1.0,1,12.0,Software Development,2.0,0.0,5.0,11.780690503581651,1,4.0,1.0,2.0,289.0,144.0,0.6666666666666666,7.0
Other,16.0,,1,Full-stack,,2,12.0,"Internet, Telecomm or Information Services",1.0,0.0,6.0,10.920021730168632,1,5.0,4.0,9.0,256.0,144.0,0.7058823529411765,18.0
Netherlands,28.0,5.0,1,Other,2.0,1,20.0,Fintech,2.0,0.0,,12.329307459864802,1,7.0,3.0,11.0,784.0,400.0,0.6896551724137931,21.0
United States of America,8.0,,1,Full-stack,,1,7.0,Other,0.0,,,11.407576060361786,1,9.0,2.0,12.0,64.0,49.0,0.7777777777777778,23.0
Netherlands,15.0,5.0,1,Back-end,,1,15.0,Other,2.0,,10.0,11.230708431949505,0,5.0,6.0,7.0,225.0,225.0,0.9375,18.0
Czech Republic,10.0,,1,Back-end,2.0,0,5.0,Fintech,1.0,0.0,2.0,10.579437708267552,1,11.0,3.0,22.0,100.0,25.0,0.45454545454545453,36.0
Canada,42.0,,1,Back-end,,1,38.0,Software Development,4.0,,0.0,11.534129071221251,1,7.0,3.0,7.0,1764.0,1444.0,0.8837209302325582,17.0
Netherlands,36.0,5.0,1,Other,5.0,1,28.0,Government,3.0,0.0,10.0,11.556119045056985,1,7.0,,14.0,1296.0,784.0,0.7567567567567568,0.0
Finland,4.0,,1,Other,2.0,1,4.0,Other,1.0,0.0,6.0,11.03600194843532,0,5.0,5.0,,16.0,16.0,0.8,0.0
Other,52.0,,1,Other,,2,35.0,Software Development,4.0,0.0,40.0,11.102337256163294,1,12.0,1.0,7.0,2704.0,1225.0,0.660377358490566,20.0
Italy,4.0,,1,Data/ML,3.0,0,3.0,Healthcare,1.0,0.0,5.0,10.540646222887219,1,7.0,2.0,12.0,16.0,9.0,0.6,21.0
Czech Republic,20.0,,1,Back-end,,1,11.0,Retail and Consumer Services,2.0,,3.0,11.159231786924533,1,12.0,9.0,12.0,400.0,121.0,0.5238095238095238,33.0
France,12.0,,1,Back-end,3.0,1,5.0,Software Development,1.0,0.0,5.0,11.756788869858779,1,5.0,1.0,10.0,144.0,25.0,0.38461538461538464,16.0
United States of America,20.0,5.0,1,Full-stack,2.0,1,20.0,Higher Education,3.0,0.0,,11.775297421715827,0,7.0,3.0,7.0,400.0,400.0,0.9523809523809523,17.0
United States of America,15.0,,1,Management,6.0,2,10.0,Fintech,2.0,1.0,5.0,12.429220196836383,0,8.0,4.0,14.0,225.0,100.0,0.625,26.0
Denmark,36.0,5.0,1,Full-stack,3.0,0,25.0,Banking/Financial Services,3.0,0.0,15.0,11.90324309374818,1,12.0,10.0,10.0,1296.0,625.0,0.6756756756756757,32.0
Austria,17.0,,1,Full-stack,4.0,2,14.0,Software Development,2.0,0.0,8.0,11.71026698852057,0,6.0,7.0,9.0,289.0,196.0,0.7777777777777778,22.0
United States of America,18.0,,1,Mobile,3.0,1,14.0,Software Development,1.0,0.0,10.0,12.07254696717504,1,8.0,,,324.0,196.0,0.7368421052631579,0.0
United Kingdom of Great Britain and Northern Ireland,6.0,5.0,1,Full-stack,1.0,2,6.0,Software Development,1.0,0.0,10.0,11.108110145703561,1,6.0,4.0,10.0,36.0,36.0,0.8571428571428571,20.0
Germany,18.0,,1,Front-end,3.0,0,8.0,Software Development,1.0,0.0,7.0,11.150663514162712,0,4.0,7.0,11.0,324.0,64.0,0.42105263157894735,22.0
Italy,14.0,5.0,1,Full-stack,1.0,1,5.0,Software Development,1.0,1.0,5.0,10.582687926963448,1,11.0,6.0,14.0,196.0,25.0,0.3333333333333333,31.0
Poland,10.0,5.0,1,Front-end,,1,6.0,Software Development,1.0,,7.0,11.102276946169908,0,5.0,2.0,5.0,100.0,36.0,0.5454545454545454,12.0
Germany,14.0,,1,Other,6.0,1,2.0,Higher Education,1.0,0.0,10.0,10.968336211051428,0,8.0,,2.0,196.0,4.0,0.13333333333333333,0.0
United States of America,8.0,,1,Other,,1,10.0,Other:,2.0,0.0,6.0,11.289794413577894,0,5.0,1.0,,64.0,100.0,1.1111111111111112,0.0
United States of America,15.0,,1,Back-end,6.0,1,11.0,Government,2.0,0.0,5.0,11.289794413577894,0,6.0,1.0,1.0,225.0,121.0,0.6875,8.0
United Kingdom of Great Britain and Northern Ireland,12.0,5.0,1,Full-stack,3.0,2,9.0,Software Development,1.0,0.0,,11.533776562037675,0,8.0,5.0,10.0,144.0,81.0,0.6923076923076923,23.0
Other,4.0,5.0,1,Front-end,4.0,2,3.0,Retail and Consumer Services,1.0,0.0,6.0,10.306282432088414,0,3.0,,3.0,16.0,9.0,0.6,0.0
Other,11.0,,1,Other,,1,9.0,Other,2.0,,8.0,10.166851317336702,0,3.0,,2.0,121.0,81.0,0.75,0.0
Germany,23.0,,1,Management,3.0,1,17.0,"Internet, Telecomm or Information Services",3.0,1.0,13.0,11.661483391611373,1,6.0,2.0,3.0,529.0,289.0,0.7083333333333334,11.0
Israel,20.0,5.0,1,Front-end,3.0,1,17.0,Software Development,2.0,1.0,7.0,11.87344202046115,0,3.0,,,400.0,289.0,0.8095238095238095,0.0
United States of America,12.0,5.0,1,Back-end,6.0,1,4.0,Fintech,1.0,0.0,3.0,11.177466714598282,0,4.0,1.0,,144.0,16.0,0.3076923076923077,0.0
Poland,10.0,5.0,1,Full-stack,,1,7.0,Other,1.0,,,11.211833885608513,0,6.0,5.0,8.0,100.0,49.0,0.6363636363636364,19.0
United States of America,12.0,5.0,1,security,2.0,2,6.0,Software Development,1.0,0.0,6.0,12.429220196836383,1,6.0,3.0,10.0,144.0,36.0,0.46153846153846156,19.0
Canada,16.0,5.0,1,Full-stack,2.0,2,15.0,Software Development,2.0,0.0,20.0,11.482837322652943,1,3.0,2.0,5.0,256.0,225.0,0.8823529411764706,10.0
Other,14.0,5.0,1,Mobile,,0,10.0,Manufacturing,1.0,0.0,,10.64034056535614,1,6.0,,,196.0,100.0,0.6666666666666666,0.0
Sweden,16.0,,1,Back-end,1.0,1,12.0,Banking/Financial Services,2.0,0.0,5.0,11.385671471043278,0,,,,256.0,144.0,0.7058823529411765,0.0
Germany,10.0,,1,Other,,1,6.0,Healthcare,1.0,0.0,,11.567167407817905,0,3.0,3.0,3.0,100.0,36.0,0.5454545454545454,9.0
United States of America,25.0,,1,Management,,0,20.0,Software Development,2.0,0.0,4.0,12.345838935721968,0,6.0,3.0,,625.0,400.0,0.7692307692307693,0.0
United States of America,17.0,5.0,1,Full-stack,5.0,1,12.0,Other:,2.0,0.0,,11.891368749982085,0,10.0,1.0,,289.0,144.0,0.6666666666666666,0.0
United States of America,10.0,5.0,1,Full-stack,3.0,2,6.0,Healthcare,1.0,0.0,10.0,11.775297421715827,0,6.0,5.0,8.0,100.0,36.0,0.5454545454545454,19.0
Other,13.0,,1,Back-end,2.0,2,7.0,Software Development,2.0,0.0,10.0,11.407576060361786,1,3.0,3.0,5.0,169.0,49.0,0.5,11.0
Other,14.0,,1,Back-end,1.0,2,12.0,Software Development,2.0,0.0,,11.099362658824449,1,7.0,5.0,10.0,196.0,144.0,0.8,22.0
United Kingdom of Great Britain and Northern Ireland,38.0,,1,Other,5.0,1,28.0,Other:,3.0,0.0,,11.464785089642293,0,,,,1444.0,784.0,0.717948717948718,0.0
Israel,24.0,,1,Full-stack,3.0,1,22.0,Software Development,2.0,0.0,10.0,11.906648571474658,0,4.0,6.0,15.0,576.0,484.0,0.88,25.0
Other,5.0,5.0,1, Data/ML,,1,21.0,Banking/Financial Services,2.0,0.0,15.0,11.063649525214753,0,3.0,4.0,4.0,25.0,441.0,3.5,11.0
Germany,20.0,5.0,1, Data/ML,2.0,1,16.0,Software Development,2.0,1.0,,11.413016727990648,0,,,,400.0,256.0,0.7619047619047619,0.0
Austria,30.0,5.0,1,Full-stack,5.0,2,23.0,Software Development,2.0,0.0,30.0,11.661483391611373,0,,,,900.0,529.0,0.7419354838709677,0.0
Netherlands,30.0,5.0,1,Back-end,3.0,1,20.0,Software Development,3.0,0.0,,11.533649236510204,0,,,,900.0,400.0,0.6451612903225806,0.0
Germany,12.0,5.0,1,Other,5.0,1,9.0,Software Development,1.0,0.0,1.0,12.066942753369188,1,2.0,,,144.0,81.0,0.6923076923076923,0.0
Other,33.0,5.0,1,Other,3.0,0,20.0,Retail and Consumer Services,3.0,1.0,10.0,10.389979499286666,0,10.0,,,1089.0,400.0,0.5882352941176471,0.0
United States of America,30.0,,1,Full-stack,2.0,2,22.0,Fintech,2.0,0.0,3.0,11.813037464800539,0,6.0,4.0,,900.0,484.0,0.7096774193548387,0.0
United States of America,30.0,,1,Full-stack,,1,25.0,"Internet, Telecomm or Information Services",3.0,0.0,,12.323860125621126,1,7.0,3.0,6.0,900.0,625.0,0.8064516129032258,16.0
United States of America,8.0,,1,Other,5.0,1,3.0,Higher Education,1.0,0.0,8.0,11.326607934898927,0,7.0,3.0,6.0,64.0,9.0,0.3333333333333333,16.0
Italy,5.0,5.0,1,Other,,1,11.0,Software Development,1.0,,,10.66723298194161,0,3.0,,2.0,25.0,121.0,1.8333333333333333,0.0
United States of America,12.0,,1,Other,6.0,1,8.0,Government,1.0,1.0,6.0,11.982935344196433,0,6.0,1.0,6.0,144.0,64.0,0.6153846153846154,13.0
United States of America,27.0,,1,Full-stack,5.0,2,20.0,Other,2.0,0.0,5.0,11.461642696843066,0,,,,729.0,400.0,0.7142857142857143,0.0
Canada,21.0,,1,Back-end,,1,21.0,Other,3.0,,12.0,11.603122595387731,1,2.0,3.0,4.0,441.0,441.0,0.9545454545454546,9.0
Italy,7.0,,1,Full-stack,1.0,1,1.0,Manufacturing,0.0,0.0,3.0,10.423619735622419,0,,,,49.0,1.0,0.125,0.0
United Kingdom of Great Britain and Northern Ireland,6.0,5.0,1,Full-stack,6.0,1,12.0,"Internet, Telecomm or Information Services",1.0,0.0,,11.464785089642293,0,,,,36.0,144.0,1.7142857142857142,0.0
Canada,20.0,,1,Full-stack,1.0,2,12.0,Fintech,2.0,0.0,4.0,11.616366138910735,1,4.0,1.0,2.0,400.0,144.0,0.5714285714285714,7.0
Spain,8.0,,1,Full-stack,1.0,2,8.0,Software Development,2.0,0.0,5.0,11.51293546492023,1,1.0,1.0,,64.0,64.0,0.8888888888888888,0.0
Canada,14.0,5.0,1,Full-stack,5.0,1,14.0,Software Development,2.0,0.0,5.0,11.379976759693314,0,10.0,7.0,6.0,196.0,196.0,0.9333333333333333,23.0
United States of America,36.0,5.0,1,Back-end,3.0,2,32.0,Fintech,3.0,0.0,5.0,12.301387370778713,0,5.0,1.0,9.0,1296.0,1024.0,0.8648648648648649,15.0
Germany,15.0,5.0,1,Devops/Cloud,3.0,1,15.0,Software Development,2.0,0.0,7.0,11.843803511820838,0,,,,225.0,225.0,0.9375,0.0
Other,9.0,5.0,1,Full-stack,6.0,1,5.0,Software Development,1.0,0.0,6.0,10.238565961087293,0,3.0,3.0,,81.0,25.0,0.5,0.0
Other,16.0,5.0,1,Full-stack,,1,14.0,Software Development,2.0,,,11.868885153174553,0,8.0,3.0,10.0,256.0,196.0,0.8235294117647058,21.0
Germany,12.0,5.0,1,security,5.0,1,4.0,Retail and Consumer Services,0.0,0.0,,11.150663514162712,1,15.0,9.0,18.0,144.0,16.0,0.3076923076923077,42.0
United Kingdom of Great Britain and Northern Ireland,40.0,,1,Full-stack,5.0,2,43.0,Other:,4.0,0.0,,11.41048291014307,0,4.0,,,1600.0,1849.0,1.048780487804878,0.0
United States of America,13.0,5.0,1,Full-stack,5.0,0,7.0,Government,1.0,0.0,4.0,11.289794413577894,0,6.0,4.0,,169.0,49.0,0.5,0.0
Sweden,38.0,,1,Other,5.0,1,30.0,Higher Education,4.0,0.0,21.0,10.980212041446208,0,1.0,,,1444.0,900.0,0.7692307692307693,0.0
Other,30.0,,1,Other,,1,25.0,Software Development,3.0,0.0,,10.457516333602767,0,,,,900.0,625.0,0.8064516129032258,0.0
United States of America,20.0,5.0,1,Other,3.0,0,11.0,Manufacturing,1.0,0.0,40.0,12.206077645517674,0,,,,400.0,121.0,0.5238095238095238,0.0
Other,17.0,,1,Back-end,,1,13.0,Software Development,2.0,,10.0,11.49273296168228,0,4.0,7.0,9.0,289.0,169.0,0.7222222222222222,20.0
Austria,37.0,,1,Other,4.0,1,32.0,Software Development,3.0,0.0,10.0,11.099362658824449,0,8.0,2.0,3.0,1369.0,1024.0,0.8421052631578947,13.0
Other,6.0,5.0,1,Other,,0,,Software Development,1.0,0.0,,11.578095036953325,1,6.0,2.0,2.0,36.0,,,10.0
United States of America,16.0,,1,Back-end,3.0,1,14.0,Higher Education,4.0,0.0,5.0,11.51293546492023,0,,,,256.0,196.0,0.8235294117647058,0.0
Poland,6.0,,1,Devops/Cloud,6.0,2,4.0,Banking/Financial Services,1.0,0.0,2.0,10.39662770624607,0,,,,36.0,16.0,0.5714285714285714,0.0
United States of America,22.0,5.0,1,Other,,1,13.0,Software Development,1.0,0.0,15.0,11.51293546492023,1,7.0,1.0,1.0,484.0,169.0,0.5652173913043478,9.0
Other,6.0,,1,Full-stack,3.0,0,7.0,Software Development,1.0,1.0,,10.491607495228367,1,7.0,7.0,4.0,36.0,49.0,1.0,18.0
United Kingdom of Great Britain and Northern Ireland,42.0,,1,Other,4.0,2,38.0,Software Development,4.0,0.0,5.0,11.61074159317052,0,,,,1764.0,1444.0,0.8837209302325582,0.0
Canada,20.0,5.0,1,Full-stack,,1,15.0,Software Development,1.0,,5.0,11.197652918513931,1,3.0,2.0,7.0,400.0,225.0,0.7142857142857143,12.0
